"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
101,"Eisenstadt urban area <101>",2021,14895,480,7398,0.0640256102440976,10,42223.4436634615,2056.09598893499,0.032957069536912,"AT112",34300,20,42.88,347.36473880597,3457,42.7833333333333,85.85,4,4,85,59,16,5,22,103,"urban",264.4,1,1,2021,41.9448094612352,170,4,14,0.300403654132144,0.656256639048226
102,"Rust urban area <102>",2021,2000,37,991,0.0366699702675917,9.2,36762.4752159091,1224.13320754717,0.57450341612446,"AT112",34300,2,20.01,99.9500249875062,2130,53.4666666666667,600,0,0,8,5,1,0,0,410,"rural",197.2,0,0,2021,18.2963709677419,10,0,0,0,0
103,"Eisenstadt surroundings <103>",2021,43861,1035,21637,0.0465712742980562,9.6,40663.4049684331,1191.95694215448,0.0586044568989309,"AT112",34300,25,453.14,96.7934854570331,1700,42.7833333333333,105.216666666667,0,0,120,61,17,1,7,310,"rural",136.2,0,0,2021,15.3097925667881,646,28,13,0.251939180255619,0.580894667254297
104,"G ssing <104>",2021,25770,662,13371,0.0533914025324623,7.5,36016.3273553055,921.890413630637,0.0147224689613237,"AT113",29200,34,485.34,53.0967981209049,1089,67.3,600,0,0,69,42,6,1,7,430,"rural",21.7,0,0,2021,11.8512750632665,336,19,1,0.444730728616684,0.770665258711721
105,"Jennersdorf <105>",2021,17109,409,8593,0.0480272428370127,7.8,34648.5347132482,1059.22918899249,0.0919764870800959,"AT113",29200,18,253.34,67.5337491118655,1710,63.45,127.983333333333,0,0,43,36,8,1,3,430,"rural",20.1,0,0,2021,14.5906228131561,212,7,1,0.37569577225409,0.697556830252815
106,"Mattersburg <106>",2021,40316,1083,19636,0.0523694390715667,8.5,37967.8873061808,1303.95205905957,0.0147238327952624,"AT112",34300,27,237.83,169.516040869529,1720,49.3833333333333,73,0,0,122,75,23,2,13,410,"rural",88.9,0,0,2021,17.7033256909006,545,28,9,0.38349930158158,0.758752759879241
107,"Neusiedl am See <107>",2021,60397,1420,30529,0.0475425204231954,10.1,37900.3901675958,1893.54277822145,0.118734088771698,"AT112",34300,47,1038.64,58.1500808749904,2560,43.55,79.5166666666667,1,0,197,124,31,2,23,430,"rural",160.3,0,0,2021,18.9515731334451,779,35,15,0.0750834912016874,0.643722047536277
108,"Oberpullendorf <108>",2021,37453,882,19168,0.0482362592288761,7.8,37396.6735481225,1180.1614595242,0.00373986118044569,"AT111",28000,48,701.44,53.3944457116788,1832,69.2333333333333,600,0,0,111,71,19,5,9,430,"rural",26,0,0,2021,10.1602709405584,465,25,7,0.47499386573907,0.850324033312645
109,"Oberwart <109>",2021,54209,1698,27217,0.0629075281564908,8.1,36167.9863469004,831.670805561,0.0366020321855502,"AT113",29200,63,732.58,73.9973791258293,1461,70.4,600,0,0,146,121,27,8,21,420,"rural",27.2,0,0,2021,16.916823014384,550,41,11,0.458612473721093,0.820953048353188
201,"Klagenfurt urban area <201>",2021,101765,3602,49463,0.0688692593017475,11.3,36569.6895940804,1062.35887415622,0.0298266452614079,"AT211",46800,74,120.12,847.194472194472,2750,0,0,11,8,392,204,73,16,45,101,"urban",147.3,2,1,2021,48.871029094775,409,34,78,0.304782008605992,0.517171389136965
