"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
101,"Eisenstadt urban area <101>",2020,14816,514,7250,0.0679355009251916,10,41292.3466234315,2056.09598893499,0.032957069536912,"AT112",32100,20,42.88,345.522388059701,1753,42.7833333333333,85.85,5,4,75,52,24,6,20,103,"urban",243,1,1,2020,41.3668463381786,182,7,17,0.300403654132144,0.656256639048226
102,"Rust urban area <102>",2020,1980,51,987,0.0513595166163142,9,34778.9308415301,1224.13320754717,0.57450341612446,"AT112",32100,2,20.01,98.9505247376312,1829,53.4666666666667,600,0,0,8,4,1,0,0,410,"rural",137.4,0,0,2020,18.0279153055669,11,0,0,0,0
103,"Eisenstadt surroundings <103>",2020,43236,1248,21249,0.0567608132078046,9.1,39784.2728181029,1191.95694215448,0.0588594584423596,"AT112",32100,25,453.14,95.4142207706228,1507,42.7833333333333,105.216666666667,1,0,110,56,17,0,7,310,"rural",114.9,0,0,2020,14.9987664076273,619,24,16,0.251939180255619,0.580894667254297
104,"G ssing <104>",2020,25699,773,13419,0.0629478827361564,7.5,34870.9173393097,921.890413630637,0.0147853920659464,"AT113",27200,34,485.34,52.9505089215807,1011,67.3,600,0,0,62,39,7,0,7,430,"rural",16.9,0,0,2020,11.6070279655937,270,23,1,0.444730728616684,0.770665258711721
105,"Jennersdorf <105>",2020,17097,463,8476,0.0537060665816031,7.8,33612.9018944571,1059.22918899249,0.0920468941616202,"AT113",27200,18,253.34,67.4863819373174,1494,63.45,127.983333333333,0,0,43,37,6,1,4,430,"rural",18.5,0,0,2020,14.2514603781957,187,10,1,0.37569577225409,0.697556830252815
106,"Mattersburg <106>",2020,40042,1282,19554,0.062573213588442,8.4,36744.766342866,1303.95205905957,0.014779535504829,"AT112",32100,27,237.83,168.363957448598,1324,49.3833333333333,73,0,0,108,73,25,3,9,410,"rural",69.2,0,0,2020,17.4904835187375,500,37,15,0.38349930158158,0.758752759879241
107,"Neusiedl am See <107>",2020,59990,1679,30212,0.0563839075827792,10.1,37296.9907089323,1893.54277822145,0.11883864426957,"AT112",32100,47,1038.64,57.7582222906878,2151,43.55,79.5166666666667,1,0,192,113,28,1,23,430,"rural",129,0,0,2020,18.3669313883461,724,43,17,0.0750834912016874,0.643722047536277
108,"Oberpullendorf <108>",2020,37384,1089,19223,0.0599636583888552,7.7,36183.1256920415,1180.1614595242,0.00378734934173395,"AT111",26100,48,701.44,53.2960766423358,1551,69.2333333333333,600,0,0,114,63,21,4,9,430,"rural",23,0,0,2020,9.95498274440854,425,26,6,0.47499386573907,0.850324033312645
109,"Oberwart <109>",2020,54192,2002,27147,0.0740247735256055,7.6,34723.8091454102,831.670805561,0.0364781992370319,"AT113",27200,63,732.58,73.9741734691092,1300,70.4,600,0,0,138,114,27,7,17,420,"rural",21.2,0,0,2020,16.684877579606,508,33,12,0.458612473721093,0.820953048353188
201,"Klagenfurt urban area <201>",2020,101300,4473,49416,0.0862115488397194,10.6,35731.0957612638,1062.35887415622,0.0298266452614079,"AT211",44100,74,120.12,843.323343323343,2611,0,0,11,7,358,210,62,20,42,101,"urban",138.9,2,1,2020,48.3380427988682,399,38,68,0.304782008605992,0.517171389136965
