"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
707,"Lienz <707>",2022,48818,984,23531,0.0389132755961561,10.8,33802.5490469166,1178.54505072468,0.0111075693162606,"AT333",39800,62,2020.08,24.1663696487268,2541,159.366666666667,250.566666666667,3,1,160,106,28,3,13,430,"rural",142.6,0,0,2022,20.9687320946222,248,33,11,0.564282398278814,0.57176516395693
708,"Reutte <708>",2022,33284,694,16328,0.0409294644963435,11.2,34359.9005241139,881.764147908467,0.0192675324030664,"AT331",53300,48,1236.67,26.9142131692367,3866,85.6333333333333,148.616666666667,1,1,109,63,23,4,8,430,"rural",183.9,0,0,2022,23.3487263518546,288,11,23,0.731498470948012,0.731498470948012
709,"Schwaz <709>",2022,85187,1831,38816,0.0394858855750361,14.6,33892.6112937967,1227.94000692755,0.0457731090499845,"AT335",52700,78,1843.18,46.2174068729044,5000,35.4,27,2,2,296,216,64,13,26,410,"rural",357.5,0,0,2022,25.84487502467,409,120,52,0.627431821655495,0.633987641651564
801,"Bludenz <801>",2022,64678,1660,30896,0.0491385945177905,13,36840.8385186149,913.473403313224,0.0137811726849014,"AT341",58200,60,1287.64,50.2298779161878,4630,35.45,46.066666666667,2,2,190,122,42,9,23,410,"rural",330.3,0,0,2022,27.7499732157889,408,57,21,0.701061925784513,0.703559638865688
802,"Bregenz <802>",2022,136103,3255,64898,0.0457130819464925,15.8,38022.555001259,1353.46473804706,0.0313927502983077,"AT342",59200,103,863.36,157.643393254262,5367,0,0,9,8,427,298,64,21,40,310,"rural",430.1,0,0,2022,31.9705534376232,762,181,99,0.62590954487088,0.634410519807866
803,"Dornbirn <803>",2022,90885,2343,42928,0.0488562670725859,15.5,37760.5335506579,1517.36754302066,0.0404494570394873,"AT342",59200,51,172.36,527.297516825249,5407,16,9,4,4,314,189,40,8,36,101,"urban",860.4,0,1,2022,34.1480644249788,435,92,106,0.55411325653091,0.60809129752826
804,"Feldkirch <804>",2022,110008,2445,52101,0.0422228746092873,15.6,37780.5042685363,1587.51804445392,0.0265522371101019,"AT342",59200,89,278.31,395.271459882864,5514,30,44,6,3,316,217,75,16,43,101,"urban",606.5,1,0,2022,26.8816721585247,776,174,78,0.597033201553371,0.671762936010916
901,"Wien 1.,Innere Stadt <90101>",2022,15700,294,8398,0.0402629416598192,20.9,59519.6127157159,8125.75829947111,0,"AT130",56500,13,2.86,5489.51048951049,14389,0,0,26,19,819,468,158,31,98,101,"urban",3000,13,4,2022,82.7823100042937,0,0,0,0.0960264900662252,0.0960264900662252
902,"Wien 2.,Leopoldstadt <90201>",2022,104688,5873,50007,0.107404765823595,16.7,37639.0961685021,4696.79902437551,0.0966976792991953,"AT130",56500,64,19.242,5440.59869036483,6181,16,16,12,18,364,237,100,23,60,101,"urban",3000,11,2,2022,79.3573360693965,69,8,67,0.322127446061214,0.322127446061214
903,"Wien 3.,Landstra e <90301>",2022,93744,4289,43872,0.0860001604106513,16,42138.2434552887,5252.13575493947,0,"AT130",56500,42,7.39,12685.250338295,5850,15,15,16,30,404,244,97,30,75,101,"urban",3000,11,2,2022,81.6984290363162,13,0,6,0.072929542645241,0.072929542645241
