"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
101,"Eisenstadt urban area <101>",2023,15729,416,7888,0.053054457339625,11.4,46725.834264725,2056.09598893499,0.032957069536912,"AT112",37400,20,42.88,366.814365671642,2053,42.7833333333333,85.85,3,4,82,57,23,9,19,103,"urban",309.5,1,1,2023,40.8766883441721,100,2,5,0.300403654132144,0.656256639048226
102,"Rust urban area <102>",2023,1964,36,996,0.0371900826446281,10.7,41133.4477802691,1224.13320754717,0.57450341612446,"AT112",37400,2,20.01,98.1509245377311,2210,53.4666666666667,600,0,0,5,4,1,0,0,410,"rural",231.8,0,0,2023,18.6585980837115,8,0,0,0,0
103,"Eisenstadt surroundings <103>",2023,44787,925,22097,0.0407668576465403,10.1,46000.7144952925,1191.95694215448,0.0584690366067574,"AT112",37400,25,453.14,98.8370040164188,1866,42.7833333333333,105.216666666667,1,0,106,59,24,1,5,310,"rural",155.4,0,0,2023,15.3957701231483,626,25,14,0.251939180255619,0.580894667254297
104,"G ssing <104>",2023,26165,648,13881,0.0527515467274503,7.8,40084.9038574591,921.890413630637,0.0147239347885677,"AT113",31000,34,485.34,53.9106605678493,1054,67.3,600,0,0,71,36,6,0,9,430,"rural",27.2,0,0,2023,11.9484098128516,339,12,0,0.444730728616684,0.770665258711721
105,"Jennersdorf <105>",2023,17273,395,8776,0.0464869954101448,8.4,39383.3752175577,1059.22918899249,0.0918673200226113,"AT113",31000,18,253.34,68.1811004973553,1625,63.45,127.983333333333,0,0,33,39,8,1,4,430,"rural",19,0,0,2023,14.2989624992755,210,5,0,0.37569577225409,0.697556830252815
106,"Mattersburg <106>",2023,40851,1082,20017,0.0519343381011808,9.7,43285.6472015229,1303.95205905957,0.0147539519016668,"AT112",37400,27,237.83,171.765546819157,1467,49.3833333333333,73,0,0,121,69,20,6,10,410,"rural",92.4,0,0,2023,18.3876082449079,529,18,5,0.38349930158158,0.758752759879241
107,"Neusiedl am See <107>",2023,61768,1408,31387,0.0463447549455252,11.2,43519.6609187491,1893.54277822145,0.118519000532852,"AT112",37400,47,1038.64,59.4700762535623,2555,43.55,79.5166666666667,1,0,207,117,31,4,22,430,"rural",189,0,0,2023,18.6033736185614,682,30,7,0.0750834912016874,0.643722047536277
108,"Oberpullendorf <108>",2023,37743,778,19517,0.0426862723581697,7.9,42365.9476156542,1180.1614595242,0.00374841262883765,"AT111",30100,48,701.44,53.8078809306569,1605,69.2333333333333,600,0,0,107,64,17,7,10,430,"rural",27.4,0,0,2023,11.2298051244084,457,23,6,0.47499386573907,0.850324033312645
109,"Oberwart <109>",2023,54970,1835,27791,0.0675153611243975,8.6,40915.4618132413,831.670805561,0.036524006070455,"AT113",31000,63,732.58,75.0361735237107,1548,70.4,600,0,0,148,120,26,8,20,420,"rural",30.4,0,0,2023,17.6573996882816,479,36,11,0.458612473721093,0.820953048353188
201,"Klagenfurt urban area <201>",2023,104332,3771,50121,0.0695615281031525,13.1,40416.4382597487,1062.35887415622,0.0298266452614079,"AT211",50200,74,120.12,868.564768564769,3000,0,0,11,9,390,223,68,20,43,101,"urban",183.7,2,1,2023,49.2980896954407,361,38,58,0.304782008605992,0.517171389136965
202,"Villach urban area <202>",2023,65135,2718,31558,0.0809482681597522,14,41124.5499241316,1547.35870264834,0.0259566806159578,"AT211",50200,34,134.99,482.517223498037,3625,37.05,54.3833333333333,2,2,196,93,32,8,25,102,"urban",200.9,0,0,2023,51.5009151921904,188,74,48,0.550413350846017,0.57745499497798
210,"Feldkirchen <210>",2023,30162,574,15098,0.0381040892193309,11,37967.9439471821,319.883655936205,0.010403910396907,"AT212",35000,23,558.49,54.0063385199377,2665,29.3833333333333,40.9833333333333,0,0,77,48,13,2,7,410,"rural",82.1,0,0,2023,19.3435754189944,229,15,3,0.724362606232295,0.767882436260623
203,"Hermagor <203>",2023,18051,348,9433,0.040380598746809,11.8,35100.4250674305,632.015413660718,0.013958888321016,"AT212",35000,15,808.13,22.3367527501763,6463,60.85,134.4,0,0,46,33,11,0,3,430,"rural",58.5,0,0,2023,15.0492965547801,119,29,11,0.793001275223164,0.817668091916085
204,"Klagenfurt rural area <204>",2023,61341,1381,30465,0.0447272962819018,13.6,42637.4380504108,518.163277029223,0.0103961899978572,"AT211",50200,29,765.64,80.1172874980409,5202,20.3833333333333,45.3333333333333,0,0,117,68,23,0,9,310,"rural",91.2,0,0,2023,16.6720726565034,592,66,14,0.602265642617427,0.717059970551952
205,"Sankt Veit an der Glan <205>",2023,54092,1166,27407,0.0436949597151958,9.4,39297.7732572365,579.300709204724,0.0223241109241852,"AT213",40200,39,1493.58,36.2163392653892,1552,27.1,45.9833333333333,3,1,137,76,31,4,12,410,"rural",60.8,0,0,2023,27.7996052607308,301,1,5,0.709005938790951,0.76775109301874
