column_name;2017;2018;2019;2020;2021;2022;2023
c_50_99;;;;;;;
c_100_250;;;;;;;
c_250_499;;;;;;;
c_500;0;0;0;0;0;0;0
c_1000;;;;;;;
w_permit_3_10;;;;;;;
w_permit_11;;;;;;;
gross_income;*0.8;*0.8;*0.8;*0.8;*0.8;*0.8;*0.8
gdp;*0.85;*0.85;*0.85;*0.85;*0.85;*0.85;*0.85
duration_car_in_min_urban_centre;;;;;;;
universities_within_5km;;;;;;;
