"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
101,"Eisenstadt urban area <101>",2018,14476,433,7087,0.0586006225470294,10,39101.3067927724,2056.09598893499,0.032957069536912,"AT112",32600,20,42.88,337.59328358209,1383,42.7833333333333,85.85,4,3,66,54,15,8,16,103,"urban",221.7,1,1,2018,40.2109200920655,108,6,10,0.300403654132144,0.656256639048226
102,"Rust urban area <102>",2018,1921,34,946,0.0348717948717949,8.5,33319.3372991071,1224.13320754717,0.57450341612446,"AT112",32600,2,20.01,96.0019990004997,1758,53.4666666666667,600,0,0,8,2,0,0,1,410,"rural",143.8,0,0,2018,17.4910039812168,33,3,2,0,0
103,"Eisenstadt surroundings <103>",2018,42569,1004,20595,0.0456903613361245,9.6,37167.6192721854,1191.95694215448,0.0603148849741919,"AT112",32600,25,453.14,93.9422694972856,1961,42.7833333333333,105.216666666667,1,0,113,57,15,1,6,310,"rural",98.3,0,0,2018,14.3767140893059,658,32,11,0.251939180255619,0.580894667254297
104,"G ssing <104>",2018,25906,735,13241,0.0580339518357679,7.5,32481.922568535,921.890413630637,0.0147405636910869,"AT113",27700,34,485.34,53.3770140520048,968,67.3,600,0,0,62,42,6,0,8,430,"rural",13.5,0,0,2018,11.1185337702481,230,16,0,0.444730728616684,0.770665258711721
105,"Jennersdorf <105>",2018,17112,368,8377,0.0421293646250716,7.8,31362.8465021486,1059.22918899249,0.0917717173643092,"AT113",27700,18,253.34,67.5455909055025,1209,63.45,127.983333333333,0,0,45,34,6,0,4,430,"rural",12.8,0,0,2018,13.5731355082749,137,10,2,0.37569577225409,0.697556830252815
106,"Mattersburg <106>",2018,39893,1168,19217,0.0564906171406462,8.5,35112.3721523536,1303.95205905957,0.0148205083216993,"AT112",32600,27,237.83,167.737459529916,1489,49.3833333333333,73,0,0,121,75,19,3,13,410,"rural",73.6,0,0,2018,17.0647991744115,428,33,15,0.38349930158158,0.758752759879241
107,"Neusiedl am See <107>",2018,58981,1328,28974,0.0442563401872896,10.1,35295.49201509,1893.54277822145,0.117487630540123,"AT112",32600,47,1038.64,56.7867596087191,1555,43.55,79.5166666666667,1,0,194,111,30,1,20,430,"rural",115.5,0,0,2018,17.197647898148,846,48,19,0.0750834912016874,0.643722047536277
108,"Oberpullendorf <108>",2018,37661,1026,19010,0.0550104552034743,7.8,33891.184868198,1180.1614595242,0.00380096184925375,"AT111",26100,48,701.44,53.6909785583942,1236,69.2333333333333,600,0,0,112,71,14,4,9,430,"rural",24,0,0,2018,9.54440635210879,403,33,4,0.47499386573907,0.850324033312645
109,"Oberwart <109>",2018,54156,1819,26936,0.0668258633357825,8.1,32534.5953650193,831.670805561,0.0364310513647718,"AT113",27700,63,732.58,73.9250320784078,973,70.4,600,0,0,144,103,29,8,13,420,"rural",21.4,0,0,2018,16.2209867100501,393,29,12,0.458612473721093,0.820953048353188
201,"Klagenfurt urban area <201>",2018,100369,4218,48919,0.0819825072886297,11.3,33911.8031406074,1062.35887415622,0.0298266452614079,"AT211",43900,74,120.12,835.572760572761,1803,0,0,11,6,357,200,60,13,44,101,"urban",142.6,2,1,2018,47.2720702070546,407,39,82,0.304782008605992,0.517171389136965
202,"Villach urban area <202>",2018,61879,3171,30258,0.100281458524398,11.5,33065.89029137,1547.35870264834,0.0259566806159578,"AT211",43900,34,134.99,458.396918290244,2517,37.05,54.3833333333333,2,2,175,92,33,7,24,102,"urban",125,0,0,2018,51.9604128307842,199,50,29,0.550413350846017,0.57745499497798
210,"Feldkirchen <210>",2018,29967,780,14632,0.0508640365177698,9,30624.4877831947,319.883655936205,0.0103296655903295,"AT212",28000,23,558.49,53.6571827606582,2727,29.3833333333333,40.9833333333333,0,0,77,54,11,1,9,410,"rural",55.9,0,0,2018,19.335510441966,246,12,2,0.724362606232295,0.767882436260623
203,"Hermagor <203>",2018,18174,529,9181,0.0588235294117647,8.2,28989.365413604,632.015413660718,0.0140666606048801,"AT212",28000,15,808.13,22.4889559848044,2896,60.85,134.4,0,0,35,35,7,0,4,430,"rural",52,0,0,2018,13.8607185729248,114,4,1,0.793001275223164,0.817668091916085
204,"Klagenfurt rural area <204>",2018,59586,1562,29326,0.0516192994051553,10.3,34661.7349196945,518.163277029223,0.0103716365444362,"AT211",43900,29,765.64,77.8250875084896,2928,20.3833333333333,45.3333333333333,0,0,104,74,19,0,7,310,"rural",71.2,0,0,2018,16.4119253705118,584,36,18,0.602265642617427,0.717059970551952
205,"Sankt Veit an der Glan <205>",2018,54923,1262,27018,0.0452248700949651,8.3,32075.4603212296,579.300709204724,0.0224559753660136,"AT213",33300,39,1493.58,36.7727205774046,1139,27.1,45.9833333333333,4,1,162,79,27,2,12,410,"rural",46.4,0,0,2018,28.0511449783993,253,7,1,0.709005938790951,0.76775109301874
206,"Spittal an der Drau <206>",2018,76248,3135,38059,0.0820917017989473,9.9,29918.4432229482,466.379912430051,0.0410859641303401,"AT212",28000,57,2764.99,27.5762299321155,2599,53.4166666666667,83.55,2,2,211,132,33,6,7,410,"rural",62.6,0,0,2018,23.0645393847522,438,32,9,0.688423967828611,0.707243226179074
