"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
101,"Eisenstadt urban area <101>",2019,14637,426,7171,0.0570586659523172,10,39949.2769045966,2056.09598893499,0.032957069536912,"AT112",33400,20,42.88,341.347947761194,1965,42.7833333333333,85.85,4,3,68,54,16,7,14,103,"urban",216.4,1,1,2019,40.7888832151221,93,8,11,0.300403654132144,0.656256639048226
102,"Rust urban area <102>",2019,1940,43,968,0.044238683127572,8.5,35129.3788679245,1224.13320754717,0.57450341612446,"AT112",33400,2,20.01,96.951524237881,1819,53.4666666666667,600,0,0,6,3,0,0,1,410,"rural",136.5,0,0,2019,17.7594596433919,22,3,0,0,0
103,"Eisenstadt surroundings <103>",2019,42927,993,20722,0.0447196577347444,9.6,38709.6194318182,1191.95694215448,0.0597694522045228,"AT112",33400,25,453.14,94.7323123096615,1878,42.7833333333333,105.216666666667,2,0,111,54,17,0,7,310,"rural",110,0,0,2019,14.6877402484666,635,31,13,0.251939180255619,0.580894667254297
104,"G ssing <104>",2019,25797,727,13236,0.0578775575193058,7.5,33634.9122775396,921.890413630637,0.0147298152047851,"AT113",28300,34,485.34,53.1524292248733,915,67.3,600,0,0,62,41,7,1,8,430,"rural",15.2,0,0,2019,11.3627808679209,248,23,0,0.444730728616684,0.770665258711721
105,"Jennersdorf <105>",2019,17066,416,8393,0.0479649486913409,7.8,32719.1845083785,1059.22918899249,0.0916802040200857,"AT113",28300,18,253.34,67.3640167364017,1329,63.45,127.983333333333,0,0,41,36,8,0,3,430,"rural",16.3,0,0,2019,13.9122979432353,165,11,2,0.37569577225409,0.697556830252815
106,"Mattersburg <106>",2019,39925,1127,19160,0.0542740187816037,8.5,36146.1348979488,1303.95205905957,0.014847386218594,"AT112",33400,27,237.83,167.872009418492,1294,49.3833333333333,73,1,0,116,71,24,3,11,410,"rural",70.8,0,0,2019,17.2776413465745,444,41,15,0.38349930158158,0.758752759879241
107,"Neusiedl am See <107>",2019,59552,1378,29292,0.0455386649041639,10.1,36660.3726102418,1893.54277822145,0.118096783506164,"AT112",33400,47,1038.64,57.336516983748,1760,43.55,79.5166666666667,1,0,209,109,33,1,21,430,"rural",111.8,0,0,2019,17.782289643247,750,49,19,0.0750834912016874,0.643722047536277
108,"Oberpullendorf <108>",2019,37513,991,18972,0.0534491127770886,7.8,35240.8703550504,1180.1614595242,0.00381040482836764,"AT111",26700,48,701.44,53.4799840328467,1199,69.2333333333333,600,0,0,113,70,15,4,11,430,"rural",21.9,0,0,2019,9.74969454825867,414,29,4,0.47499386573907,0.850324033312645
109,"Oberwart <109>",2019,54076,1763,26868,0.0647971184945604,8.1,33668.7705738812,831.670805561,0.0364840513620916,"AT113",28300,63,732.58,73.8158289879604,1033,70.4,600,0,0,147,107,31,8,13,420,"rural",19,0,0,2019,16.4529321448281,464,34,16,0.458612473721093,0.820953048353188
201,"Klagenfurt urban area <201>",2019,100817,4120,48898,0.0793543789364202,11.3,34931.3513583067,1062.35887415622,0.0298266452614079,"AT211",45000,74,120.12,839.302364302364,2169,0,0,8,6,370,202,65,19,42,101,"urban",129.9,2,1,2019,47.8050565029614,408,40,66,0.304782008605992,0.517171389136965
202,"Villach urban area <202>",2019,62243,3166,30371,0.0993348393574297,11.5,34304.6680877097,1547.35870264834,0.0259566806159578,"AT211",45000,34,134.99,461.093414326987,2744,37.05,54.3833333333333,2,2,178,100,33,7,25,102,"urban",147,0,0,2019,51.9312738910476,241,56,24,0.550413350846017,0.57745499497798
210,"Feldkirchen <210>",2019,29937,732,14597,0.0477183833116036,9,31321.3103976872,319.883655936205,0.0103673803419596,"AT212",29300,23,558.49,53.6034664899998,2143,29.3833333333333,40.9833333333333,0,0,88,54,11,1,9,410,"rural",55.5,0,0,2019,19.340585720793,242,13,3,0.724362606232295,0.767882436260623
203,"Hermagor <203>",2019,18224,498,9131,0.0547674034971956,8.2,28960.1212940213,632.015413660718,0.0140271117295589,"AT212",29300,15,808.13,22.5508272183931,2842,60.85,134.4,0,0,40,35,8,0,3,430,"rural",50.5,0,0,2019,14.2098472210405,115,4,1,0.793001275223164,0.817668091916085
204,"Klagenfurt rural area <204>",2019,59800,1583,29457,0.0521701875226576,10.3,35855.5451447845,518.163277029223,0.0103765464882142,"AT211",45000,29,765.64,78.1045922365603,2919,20.3833333333333,45.3333333333333,0,0,97,71,21,0,7,310,"rural",72,0,0,2019,16.5381331988497,602,40,16,0.602265642617427,0.717059970551952
205,"Sankt Veit an der Glan <205>",2019,54555,1265,26835,0.0456349206349206,8.3,33456.3671765222,579.300709204724,0.0226138410800171,"AT213",34400,39,1493.58,36.526332703973,1301,27.1,45.9833333333333,5,0,160,78,29,3,11,410,"rural",48.2,0,0,2019,27.9555227063183,251,7,2,0.709005938790951,0.76775109301874
206,"Spittal an der Drau <206>",2019,76091,2992,37720,0.0779755544551875,9.9,31153.5010483871,466.379912430051,0.0411171771120394,"AT212",29300,57,2764.99,27.5194485332678,2920,53.4166666666667,83.55,2,1,213,129,38,6,6,410,"rural",63.2,0,0,2019,23.2225582190655,448,34,9,0.688423967828611,0.707243226179074
207,"Villach rural area <207>",2019,64668,1908,31911,0.0582470922245627,11.1,34248.6662181173,593.797181503577,0.013856509138852,"AT211",45000,43,1009.29,64.0727640222335,2858,40.8166666666667,91.7,0,0,126,79,21,1,15,310,"rural",58.5,0,0,2019,18.4047329867003,571,30,4,0.733241290170965,0.771448994379492
208,"V lkermarkt <208>",2019,41878,1433,20574,0.0672643634998122,8.5,32349.4001714576,577.898719700508,0.00764822264930663,"AT213",34400,31,907.61,46.1409636297529,2097,30.4666666666667,48.1666666666667,0,1,94,46,19,4,10,430,"rural",35.5,0,0,2019,16.6310979798019,270,12,4,0.623114378978647,0.79157584236154
209,"Wolfsberg <209>",2019,52726,1116,25425,0.0408776235302736,8.3,33253.0316127007,1018.27116188949,0.00912703066544763,"AT213",34400,39,973.65,54.1529296975299,1799,48.4666666666667,82.3333333333333,4,0,142,100,34,5,16,410,"rural",46.1,0,0,2019,21.4879737871913,300,3,1,0.661224405760698,0.73863765042567
301,"Krems an der Donau urban area <301>",2019,24876,890,12749,0.0733899562958687,11.1,33518.8981630252,1418.85837187789,0.131535047531459,"AT124",32100,22,51.66,481.533101045296,2772,59.4666666666667,90.1666666666667,4,0,96,55,22,3,15,102,"urban",117.6,3,1,2019,46.3664167328887,118,17,21,0.310590789269654,0.427663203597457
302,"Sankt P lten urban area <302>",2019,55044,2621,26710,0.0925037057951578,10.8,34215.8224748387,1603.50969573284,0.0616356199407453,"AT123",45400,59,108.44,507.598672076724,1775,55.55,36.5166666666667,7,11,183,130,49,8,29,102,"urban",124.6,2,1,2019,44.4838421835804,367,18,57,0.150609275006575,0.67695274831244
303,"Waidhofen an der Ybbs urban area <303>",2019,11261,139,5352,0.0235234388221357,8.7,35345.3629049034,997.931166902404,0.0050129766078435,"AT121",35900,13,131.56,85.5959258133171,1126,55.6666666666667,59.1333333333333,1,0,30,21,6,1,5,220,"rural",116.3,0,0,2019,24.4000380349081,42,1,0,0.421530774471951,0.421530774471951
304,"Wiener Neustadt urban area <304>",2019,45277,2705,21693,0.114696404341927,10.4,33920.6202088656,2087.41214695752,0.00302470670156427,"AT122",33200,42,60.94,742.976698391861,2626,44.9166666666667,40.9,4,3,163,97,44,2,18,102,"urban",227.7,0,1,2019,50.9150896384968,256,12,52,0.298941444459333,0.590915181562374
305,"Amstetten <305>",2019,116114,2246,52807,0.0354779092359455,9,35189.7899650179,866.451680739608,0.0745113638656305,"AT121",35900,98,1187.73,97.7612757108097,1697,41.3166666666667,28.7333333333333,7,2,287,229,64,12,24,102,"urban",64.2,0,0,2019,21.9006111222858,1046,44,21,0.328544680851064,0.598544680851064
306,"Baden <306>",2019,146203,5325,68949,0.0689284697232506,11.6,38383.1666921574,2112.3582819378,0.0430694482168727,"AT127",54500,82,753.64,193.995807016613,3214,35.55,40.15,3,0,398,198,60,10,42,102,"urban",188.5,0,0,2019,29.3123826379287,997,57,76,0.507939416947023,0.74764042884633
307,"Bruck an der Leitha <307>",2019,102010,3302,48700,0.0619395985743763,11.9,38100.8353057702,1759.49552096034,0.14321760035478,"AT127",54500,52,703.11,145.083984013881,2764,36.1,46.7833333333333,6,5,287,195,56,13,35,102,"urban",156.3,0,0,2019,29.7110174773946,1132,37,48,0.198915927954379,0.80553046129524
308,"G nserndorf <308>",2019,103686,3760,49430,0.0693010911235624,10.5,36489.3742152424,1867.9313333517,0.0331919014715722,"AT126",29900,71,1271.4,81.5526191599811,2641,42.1166666666667,52.9166666666667,1,1,216,118,31,5,13,310,"rural",108.5,0,0,2019,13.0864277268714,1454,38,33,0.129109219612444,0.822702183447374
309,"Gm nd <309>",2019,36773,985,18009,0.0524941377105095,7.7,32327.3104954573,1060.10112280333,0.0229198773201158,"AT124",32100,38,786.39,46.7617848650161,529,71.75,240,2,2,93,63,13,2,11,420,"rural",21.4,0,0,2019,13.5689315480371,252,4,2,0.52957383573351,0.736750130744799
310,"Hollabrunn <310>",2019,50858,1278,24920,0.0492713393476752,9.4,34615.4828002331,1100.90247852714,0.00672986144181536,"AT125",24600,51,1010.88,50.3106204495093,1616,52.65,71.45,0,0,120,68,26,2,7,420,"rural",29.5,0,0,2019,11.7019418730859,509,23,15,0.195126842474682,0.770510378020656
311,"Horn <311>",2019,31090,535,15184,0.0336351062492141,8.5,33829.7524968518,1038.70349006801,0.00814830994631311,"AT124",32100,38,784,39.655612244898,929,70.5166666666667,125.1,1,0,90,46,13,2,11,420,"rural",30.7,0,0,2019,12.8416599097337,244,6,3,0.291858892526259,0.886674166108422
